sentiment,text,char_count,word_count,label
neutral,"`` We have a group of 120 volunteers made up of Digicel employees who will manage the distribution ... Over the next week , they will distribute the 19,000 tents to more than 150 organizations , '' Digicel Haiti CEO Maarten Boute said .",236,44,1
neutral,"Supported Nokia phones include : N96 , N95-8GB , N95 , N93-N931 , N92 , N85 , N82 , N81 , N80 , N79 , N78 , N77 , N76 , N75 , N73 , N72 , N71 , E90 , E71 , E70 , E66 , E65 , E62 , E61-E61i , E60 , E51 , E50 , Touch Xpress 5800 , 6220 Classic , 6210 Navigator , 6120 Classic , 6110 Navigator , 5700 , 5500 , 5320XM .",315,81,1
negative,"Operating profit totalled EUR 9.0 mn , down from EUR 9.7 mn in the first half of 2008 .",87,19,0
neutral,"Besides , Pit-Produkt will enter the new segments .",51,9,1
positive,21 October 2010 - Finnish fishing tackle company Rapala VMC Corp ( HEL : RAP1V ) said today its net profit rose to EUR18 .9 m for the first nine months of 2010 from EUR15 .1 m for the same period a year earlier .,212,45,2
neutral,"Ahlstrom Corporation Anne Pirila Director , Financial communications Distribution : Helsinki Stock Exchange Main media Ahlstrom in brief Ahlstrom is a leader in the development , manufacture and marketing of high performance fiber-based materials .",248,35,1
positive,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,69,15,2
neutral,15 September 2010 - Finnish electrical components maker Salcomp Oyj ( HEL : SAL1V ) announced today the launch of its latest Twist charger platform .,149,26,1
positive,The company plans to expand into the international market through its subsidiaries and distributors from 2011 onwards .,119,18,2
positive,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,116,22,2
positive,"The company said that its investments in the new market areas resulted in sales increase in Sweden , Poland , Russia and Lithuania .",132,24,2
neutral,"The company operates its business through two reportable segments , including Banking and Investment Services , and Non-Life Insurance .",136,20,1
negative,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,104,20,0
neutral,"After the transaction , Danske Bank becomes an equal player with Nordic bank group Nordea in the Nordic countries .",115,20,1
positive,"Excluding non-recurring items , pre-tax profit surged 45 % to EUR80m .",70,12,2
positive,Paper maker Stora Enso Oyj said Friday it has been acquitted of charges that it participated in a paper price-fixing conspiracy in the United States .,150,26,2
neutral,"Bids or offers include at least 1,000 shares and the value of the shares must correspond to at least EUR4 ,000 .",112,22,1
neutral,The order was valued at over EUR15m .,37,8,1
neutral,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,147,24,1
neutral,"The end-to-end delivery combines the competencies and services from TietoEnators Telecom & Media , Processing & Network and Digital Innovations Business Areas .",160,23,1
neutral,Affecto has helped SKAT to set up the platform and has previously delivered several Business Intelligence projects for SKAT .,125,20,1
positive,"Under the agreement GeoSentric will provide GyPSii-powered hotel information and reservation services to visitors to China , including such popular cities as Beijing and Shanghai .",180,26,2
neutral,Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,117,21,1
neutral,"In January-September 2007 , operating profit totaled EUR 20.5 mn .",66,11,1
neutral,"The sale will be finalized in September or October , the company said .",71,14,1
neutral,In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .,56,11,1
neutral,"The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia .",174,34,1
neutral,Decisions are to be made as quickly as possible .,49,10,1
negative,"In the Baltic countries , sales fell by 42.6 % .",48,11,0
neutral,"The contract covers the manufacturing , surface-treatment and installation of the steel structures .",100,14,1
positive,The company expects net sales to significantly increase from 2009 .,67,11,2
positive,"There has been some recovery of the base metals prices and increased demand for metals in China , however .",107,20,2
neutral,"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",137,25,1
negative,The number of salaried employees and group administration employees to be dismissed from the Sievi units is 17 .,112,19,0
positive,"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",159,28,2
neutral,The Estonian parliament was set to vote on amendments to the excise duty law on Wednesday that would add 0.42 kroons to the price of a liter of diesel and 0.45 kroons to the price of a liter of gasoline from the start of 2010 .,227,46,1
neutral,He is resting comfortably and is looking forward to getting back to work . '',77,15,1
neutral,"The bond , with a maturity of five years , is part of the bank 's domestic bond program .",89,20,1
positive,The pipeline is strong .,24,5,2
positive,Ramirent s Danish subsidiary Ramirent A-S has today signed an agreement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,185,29,2
positive,Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,96,18,2
positive,"Sales improved to SEK 1,553 mn , compared with SEK 1,408 mn .",61,13,2
neutral,The restructuring measures will not affect the production of packaging printing material .,90,13,1
positive,A & euro ; 4.8 million investment in 13.6 % of Lewa netted Deutsche Beteiligungs & euro ; 21 million .,102,21,2
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .",204,33,2
negative,Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,90,19,0
neutral,Other details were not provided .,33,6,1
negative,"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",215,40,0
positive,"In addition to the Indian market , the new plant will serve Salcomp 's customers globally , the company said .",110,21,2
neutral,"Regulatory News : The Nomination Committee of Cybercom ( STO : CYBE ) , which is unanimous in its proposal , proposes the election of Jon Risfelt as the new Chairman of the Board .",180,35,1
neutral,"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",103,16,1
positive,"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",129,21,2
neutral,Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,127,23,1
positive,"The seminar introduced modern , clean technologies and products , financial tools and sponsorship programs for energy and environment projects as well as the potential to develop clean energy in Vietnam .",204,32,2
neutral,Pohjola and cooperative banks have continued to combine their branch office network .,85,13,1
neutral,The Group 's revenue in 2009 amounted to EUR 70 million and the company currently employs approximately 780 people .,116,20,1
neutral,"Finland-based companies , L+Ænnen Tehtaat and Raisio , have decided to dissolve the joint venture company ZAO Scandic Feed , which was established to start local animal feed business and feed production in northwest Russia .",224,36,1
neutral,"Tieto 's service is also used to send , process and receive materials related to absentee voting .",98,18,1
neutral,Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) announced today the launch of Tikkurila ProHouse method for protection of wooden surfaces via treatment with Ultra Pro waterborne products .,206,33,1
neutral,"The companies will divest to UPM Fray Bentos pulp mill and Forestal Oriental , a company specialising in eucalyptus cultivation .",129,21,1
positive,Olvi expects sales and market share to increase in the first quarter of 2010 .,78,15,2
neutral,"The total investment necessary will be EUR40m , the company estimated .",71,12,1
positive,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,96,19,2
neutral,Latvia 's Stockmann shopping mall is a subsidiary of Finland 's Stockmann Plc. .,80,14,1
neutral,"There are currently some ten shops selling Tikkurila 's paints in Kazakhstan , and more shops will be opened continuously .",123,21,1
positive,"On the other hand , Montevideo said that having the two mills working in the area will generate jobs .",102,20,2
negative,"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",191,36,0
neutral,Technopolis 's technological centers supply their clients with modern high-class premises .,91,12,1
negative,The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,108,23,0
negative,"Finnish Bank of +_land reports operating profit of EUR 2.2 mn in the first quarter of 2010 , down from EUR 6.3 mn in the corresponding period in 2009 .",151,30,0
neutral,FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,176,27,1
positive,"Both operating profit and turnover for the six-month period increased , respectively from EUR0 .1 m and EUR29 .0 m , as compared to the corresponding period a year ago .",169,31,2
neutral,"LONDON ( AFX ) - Intertek Group PLC , a testing and inspection company , said its commercial and electrical division has bought Finland-based company Natlabs Oy from Etteplan Oyj for 1.3 mln eur in cash .",204,37,1
negative,"Operating profit excluding non-recurring items decreased to EUR 6.2 mn from EUR 16.8 mn in 2007 , representing 2.3 % of net sales .",131,24,0
neutral,Kalmar Espana generated net sales of some 11.3 mln euro $ 14.8 mln in 2005 .,76,16,1
negative,"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",143,28,0
positive,Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase .,113,21,2
positive,"Investors will continue being interested in the company 's share although it is not quite cheap , Affarsvarlden said .",118,20,2
negative,"In Sweden , there is an oversupply of pharmacies .",50,10,0
positive,This new partnership agreement represents a significant milestone for both parties .,84,12,2
negative,"Since the association 's data do not cover sales figures from about 100 small local breweries and sales of imported beer products , the actual market shares of its members are smaller than those given in the report .",216,39,0
negative,Hobby Hall 's sales decrease 26 pct due to implementing a new information system that involved changing in the principal of posting sales .,139,24,0
neutral,"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",137,19,1
neutral,"Following the payment made in April , the company has a total of EUR 23.0 million in loans from financial institutions .",120,22,1
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .",172,41,2
neutral,"Financial , strategic and operational factors are considered .",62,9,1
neutral,L&T also acquired a 50 pct stake in local sector company Salvor Oy at the beginning of September 2007 .,103,20,1
neutral,Pharmaceuticals - Poland This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Poland .,162,25,1
positive,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,200,35,2
negative,The employment contracts of 14 of the employees will end in March 2009 as a result of the company 's previous employer-employee talks .,135,24,0
neutral,"Deutsche Beteiligungs , as well as a private equity fund it manages , first bought 75 % of MCE in a secondary buyout from White Plains , N.Y. , financial investor Andlinger & Co. in 2007 .",188,37,1
neutral,"The chain has been trying to cut its own costs , pressuring vendors such as fitness equipment manufacturer Precor to slash prices .",131,23,1
neutral,"Sarantel , based in Wellingborough , UK , designs high-performance antennas for portable wireless devices .",107,16,1
neutral,"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty .",119,21,1
negative,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",178,40,0
positive,With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .,156,24,2
neutral,"In addition to the Tulikivi Corporation , he is also currently a member of the Board of the following companies : Altia Corporation , J+Ærvi-Suomen Portti Osuuskunta , Osuuskunta KPY , Profile Vehicles Oy and Voimatel Oy .",222,38,1
neutral,The deal is in line with Etteplan 's strategy to operate as a partner of global customers and provide industrial technology design services .,141,24,1
neutral,"Finnish bank Pohjola Bank Plc HEL : POH1S said today that it will issue a EUR 40 million USD 51.2 m index-linked bond , Pohjola Tutkimuksen Tahdet VIII-2010 Pohjola Research Stars VIII-2010 , on October 27 , 2010 .",214,39,1
neutral,"Swedish engineering consultant firm Etteplan is to establish a unit in town Borl+Ænge , by the turn of the month March-April 2008 .",131,23,1
negative,"Also the city 's insurance company , If P & C Insurance , has said it will not pay compensation .",97,21,0
positive,"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",181,32,2
positive,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,79,17,2
negative,"ADP News - May 29 , 2009 - Bank of America BofA downgraded today its ratings on Swedish-Finnish paper maker Stora Enso Oyj HEL : STERV and on Finnish sector player UPM-Kymmene Oyj HEL : UPM1V to `` underperf",207,39,0
neutral,"Mr. Atul Chopra , Chief Operating Officer & President , Tecnotree elaborated '' I am eager to see the continued success of the former Tecnomen , bringing Lifetree product to MENA , under the Tecnotree umbrella .",211,37,1
neutral,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,105,21,1
neutral,"Aspo 's strong company brands - ESL Shipping , Leipurin , Telko and Kaukomarkkinat - aim to be the market leaders in their sectors .",132,25,1
positive,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",207,36,2
negative,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",117,21,0
positive,"Finnish lifting equipment maker Kone Oyj said on October 4 , 2007 it won an order worth 15 mln euro $ 21.2 mln to deliver a total of 53 custom designed elevators to Norwegian shipbuilder Aker Yards ASA .",203,39,2
positive,Viking Line manages well with its current ferries .,51,9,2
neutral,The deal includes an option for Cramo to buy out the minority stake in 2011 .,77,16,1
neutral,The new name of the Sanoma Division will be Sanoma News .,57,12,1
neutral,"`` The summer collection 2008 will be joyfully fresh like a vitamin injection , '' said H&M 's head of design Margareta van den Bosch .",135,26,1
neutral,The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,119,21,1
neutral,"Finnish investor Scanfil Oyj ( HEL : SCF1V ) said last Friday it has bought 57 million shares , or 32.96 % , in Norwegian contract electronics manufacturer Kitron ASA ( OSL : KIT ) for NOK 143.9 million ( USD 24.4 m-EUR 18.1 m ) .",230,47,1
neutral,Pharmaceutical market in Belgium Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Belgium .,147,21,1
positive,Clothing chain Sepp+Æl+Æ 's net sales increased by 7.0 % to EUR 30.8 mn .,73,15,2
negative,Finnish-Swedish Stora Enso does not understand the decision issued by a federal judge in Brazil concerning Stora Enso 's associated pulp company Veracel .,154,24,0
positive,Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,134,24,2
negative,"As a result of the negotiations , the company will terminate total 5 employment contracts .",91,16,0
positive,"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",115,22,2
neutral,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",112,18,1
neutral,"`` This transaction supports Huhtamaki 's strategic review of rigid plastic consumer goods operations '' , says Huhtam+Æki Oyj 's CEO Jukka Moisio .",148,24,1
neutral,Residents access to the block is planned to be from Aleksandri Street .,71,13,1
neutral,"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",194,35,1
positive,"When open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat .",148,29,2
positive,Poyry is recognized as one of the world 's leading advisors to the global forestry industry .,93,17,2
neutral,"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",101,22,1
negative,"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",144,25,0
neutral,Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,64,14,1
neutral,Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,102,21,1
positive,"`` The second quarter of 2010 was the firstquarter with growth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",146,28,2
positive,Atria Group is a leading Scandinavian meat products group .,59,10,2
neutral,"The offer price is $ 35 million , including cash of $ 10 million as net debt assumption of FACE , and $ 20 million worth of Cencorp shares to be issued to Savcor .",163,35,1
neutral,The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,163,26,1
positive,Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,71,13,2
neutral,Payment of shares shall be effected on subscription .,53,9,1
neutral,"The maximum obligated total trades per day is ISK 400,000,000 market value .",76,13,1
neutral,"The Tecnomen Convergent Charging solution includes functionality for prepaid and post-paid billing , charging and rating of voice calls , video calls , raw data traffic and any type of content services in both mobile and fixed networks .",237,39,1
positive,`` Demand for sports equipment was good in 2005 .,49,10,2
negative,The total need for staff cuts corresponds to about 300 man-years .,66,12,0
neutral,"Entire paper mills may be set up , especially in the new EU member states .",75,16,1
neutral,"According to Heikkil+Æ , more than just `` refreshment and energy '' will soon be found in soft drinks also in Finland .",120,23,1
neutral,"Body The credit falls due February 24 , 2014 .",46,10,1
positive,"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",259,42,2
neutral,"Liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",210,28,1
positive,Other carriers and handset makers spin it as a positive event that will raise interest for higher-end phones and pricier data plans .,133,23,2
neutral,"The guidance has been set at 90 basis points over mid-swaps , the report said .",79,16,1
positive,"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",207,44,2
neutral,"Neste Oil said that while results from its biomass to 3 liquids demonstration plant , commissioned in June 2009 , have been promising , no decision on a commercial plant has been taken .",186,34,1
positive,The ` buy ' recommendation was reiterated .,43,8,2
negative,"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",128,25,0
neutral,The company 's operating profit for 2006 stood at 39.6 mln euro ( $ 57.9 mln ) .,80,18,1
neutral,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,128,26,1
neutral,Joint procurement will be later extended to the factories in the Baltic countries .,83,14,1
negative,As a result some 20 persons will no longer be needed .,54,12,0
